,name_numbers,author,holding,lawyers_judge
Falana v Kent State University,"['Falana v. Kent State University, 669 F.3d 1349 (2012)']","[' Linn, Circuit']","[""s: The Court of Appeals, Linn, Circuit Judge, held that:\n\n[1] claims of patent were not limited to an optically active compound having a substantially temperature independent\nhelical twisting power (HTP);\n\n[2] any error by the district court in excluding two exhibits from evidence was harmless; and\n\n[3] putative inventor's contribution passed the threshold required for joint inventorship under patent law.\n\nAffirmed in part.\n\n""]","['\n\n*1351  Bruce H. Wilson, of Akron, OH, argued for plaintiff-appellee.\n\nR. Eric Gaum, Hahn Loeser & Parks, LLP, of Cleveland, OH, argued for defendants-appellants. With him on the brief\nwere Steven J. Mintz and Scott M. Oldham.\n\nBefore LINN, PROST, and REYNA, Circuit Judges.\n\n']"
TVIIM LLC v McAfee Inc,"['TVIIM, LLC v. McAfee, Inc., 851 F.3d 1356 (2017)']","[' Reyna, Circuit']","[""s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] claim terms including “as a result of/in response to” did not have multiple ordinary meanings;\n\n[2] substantial evidence supported jury's non-infringement verdict with respect to claim term “as a result of/in response\nto”;\n\n[3] substantial evidence supported jury's invalidity determination based on anticipation, with respect to claim term “as\na result of/in response to”;\n\n[4]  substantial  evidence  supported  jury's  verdict  of  non-infringement  with  respect  to  claim  term  “various  utility\nfunctions”;\n\n[5] substantial evidence supported jury's invalidity verdict for anticipation with respect to claim term “various utility\nfunctions”;\n\n[6] substantial evidence supported jury's verdict of non-infringement with respect to claim term “reporting the discovered\nvulnerabilities”;\n\n[7] substantial evidence supported jury's verdict of invalidity for anticipation with respect to claim term “reporting the\ndiscovered vulnerabilities”; and\n\n[8] any error by jury regarding non-infringement was harmless.\n\nAffirmed.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cTVIIM, LLC v. McAfee, Inc., 851 F.3d 1356 (2017)\n122 U.S.P.Q.2d 1381\n\n""]","[""\n\nJOHN J. SHAEFFER, Fox Rothschild, LLP, Los Angeles, CA, argued for plaintiff-appellant. Also represented by\nJEFFREY H. GRANT; WILLIAM A. RUDY, Denver, CO.\n\nJOSEPH J. MUELLER, Wilmer Cutler Pickering Hale and Dorr LLP, Boston, MA, argued for defendant-appellee.\nAlso represented by RICHARD WELLS O'NEILL, SARAH B. PETTY; NINA S. TALLON, MICHAEL WOLIN,\nWashington, DC.\n\nBefore Prost, Chief Judge, Clevenger and Reyna, Circuit Judges.\n\n""]"
DigitalVending Services Intern LLC v University of Phoenix Inc,"['Digital-Vending Services Intern., LLC v. University of Phoenix, Inc., 672 F.3d 1270 (2012)']","[' Rader, Chief']","['s: The Court of Appeals, Rader, Chief Judge, held that:\n\n[1]  Court  of  Appeals  would  not  attempt  to  review  argument  as  to  newly  proposed  claim  construction  that  was\nsubstantially different in scope from construction patentee sought below;\n\n[2] “free of content managed by the architecture” limitation that had been explicitly recited in various claims could not\nbe read into stand-alone phrase “registration server”;\n\n[3] by stipulating to patent claim construction that district court had adopted, patentee waived its right to challenge that\nconstruction on appeal;\n\n[4] Court of Appeals could not construe term, “server,” in first instance; and\n\n[5] phrase, “registration server,” did not have to be free of content managed by architecture.\n\nAffirmed in part, vacated in part, and remanded.\n\nMoore, Circuit Judge, filed opinion dissenting in part.\n\n']","['\n\n*1271  Andrew G. DiNovo, DiNovo, Price, Ellwanger & Hardy, LLP, of Austin, TX, argued for plaintiff-appellant.\nWith him on the brief were Stephen L. Neal, Jr., DiMuro Ginsberg, PC, of Alexandria, VA, Michael P. Adams, Winstead\nSechrest & Minick, P.C., of Austin, TX, and Gregory R. Lyons, Wiley Rein, LLP, of Washington, DC. Of counsel were\nBernard J. Dimuro, DiMuro, Ginsberg, PC, of Alexandria, VA, and William M. Parrish, DiNovo, Price, Ellwanger &\nHardy, LLP, of Austin, TX.\n\nWinstol D. Carter, Jr., Morgan, Lewis & Bockius, LLP, of Houston, TX, argued for defendants-appellees. With him on\nthe brief were David J. Levy, C. Erik Hawes, James A. Glenn and David M. Morris.\n\n*1272  Before RADER, Chief Judge, LINN and MOORE, Circuit Judges.\n\n']"
Broadcom Corp v Emulex Corp,"['Broadcom Corp. v. Emulex Corp., 732 F.3d 1325 (2013)']","[' Rader, Chief']","[""s: The Court of Appeals, Rader, Chief Judge, held that:\n\n[1] half-rate architecture in accused products “correspond[ed] to a frequency offset” as required by claim in patent;\n\n[2] evidence was sufficient to show that competitor infringed “at a rate so as to reduce” limitation;\n\n[3] patent was not obvious;\n\n[4] substantial evidence supported jury's finding of commercial success;\n\n[5] jury's finding of long-felt, but unsolved need was supported by substantial evidence;\n\n[6] patentee's exclusion from fair opportunity to compete for design wins constituted irreparable harm; and\n\n[7] district court did not abuse its discretion in issuing permanent injunction with 18 month sunset period.\n\nAffirmed.\n\n""]","['\n\n*1328  Dominic E. Massa, Wilmer, Cutler, Pickering, Hale and Dorr, LLP, of Boston, MA, argued for plaintiff-appellee.\nWith him on the brief were William F. Lee, Gregory P. Teran, Louis W. Tompros and Jason H. Liss. Of counsel on the\nbrief was Craig E. Davis, of Palo Alto, CA.\n\nJuanita R. Brooks, Fish & Richardson, P.C., of San Diego, CA, argued for defendant-appellant. With her on the brief\nwas David M. Barkan, of Redwood City, CA. Of counsel were  Craig E. Countryman, of San Diego, CA,  Rebecca\nCharnas Grant, and Jonathan J. Lamberson, of Redwood City, CA, and Thomas H. Reger, II, of Dallas, TX.\n\nBefore RADER, Chief Judge, LOURIE, and WALLACH, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n5\n\n\x0cBroadcom Corp. v. Emulex Corp., 732 F.3d 1325 (2013)\n108 U.S.P.Q.2d 1513\n\n']"
Corning v Fast Felt Corporation,"['Corning v. Fast Felt Corporation, 873 F.3d 896 (2017)']","[' Taranto, Circuit']","['s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] term “roofing or building cover material,” as used in patent, was not limited to material that either had been or would\nbe coated or saturated with asphalt or asphalt mix, and\n\n[2] claims in patent describing process to bond tab material to surface were invalid for obviousness.\n\nReversed.\n\n']","['\n\nCONSTANTINE L. TRELA, JR., Sidley Austin LLP, Chicago, IL, argued for appellant. Also represented by THOMAS\nD.  REIN,  STEVEN  J.  HOROWITZ,  STEPHANIE  P.  KOH,  BRYAN  C.  MULDER;  PETER  S.  CHOI,  ANNA\nMAYERGOYZ WEINBERG, Washington, DC.\n\nSCOTT A. BRISTER, Andrews Kurth Kenyon LLP, Austin, TX, argued for appellee. Also represented by GREGORY\nLAWRENCE PORTER, Houston, TX; JAMES D. PETRUZZI, The Petruzzi Law Firm, Houston, TX.\n\nBefore Newman, Dyk, and Taranto, Circuit Judges.\n\n']"
Kaneka Corp v Xiamen Kingdomway Group Co,"['Kaneka Corp. v. Xiamen Kingdomway Group Co., 790 F.3d 1298 (2015)']","[' Reyna, Circuit']","[""s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] district court's construction of patent term “sealed tank” based on dictionary definition conflicted with the intrinsic\nrecord from which the definition could have been ascertained;\n\n[2] claims in patent that affirmatively referred to the step of “oxidizing” required an active step;\n\n[3] independent oxidation step did not require the use of an oxidizing agent;\n\n[4] method claim that recited oxidation before step for extraction of oxidized coenzyme required that some oxidation\noccur before step for extraction;\n\n[5] passive oxidation of coenzyme was permitted during steps other than those steps that described oxidation;\n\n[6] each step in patent did not have to occur independently or separately; and\n\n[7] all or substantially all of the reduced coenzyme did not have to be oxidized during oxidation step.\n\nAffirmed in part, vacated in part, and remanded.\n\n""]","['\n\n*1300   Keith  D.  Nowak,  Carter  Ledyard  &  Milburn,  LLP,  New  York,  N.Y.,  argued  for  plaintiff-appellant.  Also\nrepresented by Robert McGee Bowick, Jr., Raley & Bowick, LLP, Houston, TX.\n\nReece  Werner  Nienstadt,  Mei  &  Mark  LLP,  Washington,  DC,  argued  for  defendants-appellees  *1301   Xiamen\nKingdomway Group Company, Pacific Rainbow International Inc. Also represented by Xiang Long, Lei Mei.\n\nTimothy Paar Walker, K & L Gates LLP, San Francisco, CA, argued for defendant-appellee Shenzhou Biology and\nTechnology Co., Ltd. Also represented by Lei Howard Chen, Harold H. Davis, Jr., Jas Singh Dhillon.\n\nGary Hnath, Mayer Brown LLP, Washington, DC, for amici curiae, Zhejiang Medicine Co., Ltd, ZMC–USA, LLC.\nAlso represented by Paul Whitfield Hughes; Trenton Menning, Henry M. Griffin IV, Charles Stephen Kelley, Houston,\nTX.\n\nBefore NEWMAN, REYNA, and HUGHES, Circuit Judges. REYNA, Circuit Judge.\n\n']"
Trivascular Inc v Samuels,"['Trivascular, Inc. v. Samuels, 812 F.3d 1056 (2016)']","["" O'Malley, Circuit""]","[""s: The Court of Appeals, O'Malley, Circuit Judge, held that:\n\n[1] reliance on general dictionary definition of ridge when considered in context of written description and plain language\nof claims was proper;\n\n[2] skilled artisan would not have clearly and unmistakably interpreted patentee's proposed “continuously circumferential\nridges” limitation as disclaimer required for patentability;\n\n[3] substantial evidence supported findings regarding lack of motivation to combine prior art references; and\n\n[4] substantial evidence supported findings regarding lack of reasonable expectation of success in combining prior art\nreferences.\n\nAffirmed.\n\n""]","[""\n\n*1059  David K.S. Cornwell, Sterne Kessler Goldstein & Fox, PLLC, Washington, DC, argued for appellant. Also\nrepresented by Pauline Pelletier, Richard D. Coller, III.\n\nJames D. Petruzzi, Petruzzi Law Firm, Houston, TX, argued for appellee. Also represented by Everett G. Diederiks, Jr.,\nNicholas Spencer Whitelaw, Diederiks & Whitelaw PC, Woodbridge, VA.\n\nBefore MOORE, O'MALLEY, and WALLACH, Circuit Judges.\n\n""]"
Prolitec Inc v Scentair Technologies Inc,"['Prolitec, Inc. v. Scentair Technologies, Inc., 807 F.3d 1353 (2015)']","[' Prost, Chief']","[""s: The Court of Appeals, Prost, Chief Judge, held that:\n\n[1] claim element “mounted” was not limited to mean permanently joined;\n\n[2] claim element “fixed in position” meant stationary, rather than non-adjustable;\n\n[3] claim element “second/secondary chamber” meant secondary in reference to initial expansion chamber;\n\n[4]  claim  elements  were  anticipated  by  international  patent  application,  which  allegedly  disclosed  patentee's  earlier\nproduct;\n\n[5] Board's position, that patentee's burden on motion to amend included burden to show patentability over prior art\nfrom patent's original prosecution history, was reasonable; and\n\n[6] Board properly considered patentee's arguments on its motion to amend claims.\n\nAffirmed.\n\nNewman, Circuit Judge, filed dissenting opinion.\n\n""]","['\n\n*1355  Erika Arner, Finnegan, Henderson, Farabow, Garrett & Dunner, LLP, Reston, VA, argued for appellant. Also\nrepresented by J. Derek McCorquindale; Cory C. Bell, Boston, MA.\n\nDavid Clay Holloway, Kilpatrick Townsend & Stockton LLP, Atlanta, GA, argued for appellee. Also represented by\nRenae Wainwright; Joshua B. Pond, Washington, DC; Adam Howard Charnes, Winston–Salem, NC.\n\nFarheena Yasmeen Rasheed, Office of the Solicitor, United States Patent and Trademark Office, Alexandria, VA, argued\nfor intervenor Michelle K. Lee. Also represented by Nathan K. Kelley, Scott Weidenfeller.\n\nBefore PROST, Chief Judge, NEWMAN and TARANTO, Circuit Judges.\n\n']"
Apotex Inc v Daiichi Sankyo Inc,"['Apotex, Inc. v. Daiichi Sankyo, Inc., 781 F.3d 1356 (2015)']","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] other manufacturer was entitled to intervene as of right;\n\n[2] competitor's statutory disclaimer of patent did not preclude suit;\n\n[3] delay in manufacturer's ability to manufacture and sell drug was fairly traceable to patent owner;\n\n[4] fact that manufacturer would need to obtain tentative approval from Food and Drug Administration (FDA) did not\nrender prospect of concrete relief too uncertain; and\n\n[5] manufacturer was not required to obtain FDA's tentative approval before filing suit.\n\nReversed.\n\n""]","['\n\n*1358  Steven Eric Feldman, Husch Blackwell LLP, Chicago, IL, argued for plaintiff-appellant. Also represented by\nSherry Lee Rollo, James Patrick White, Daniel Ronald Cherry.\n\nDominick  A.  Conde,  Fitzpatrick,  Cella,  Harper  &  Scinto,  New  York,  N.Y.,  argued  for  defendants-appellees.  Also\nrepresented by Charles Austin Ginnings, Nina Shreve.\n\nMichael Shumsky, Kirkland & Ellis LLP, Washington, DC, argued for movant-cross-appellant. Also represented by\nJohn Kevin Crisham, Stephen S. Schwartz.\n\nBefore TARANTO, MAYER, and CLEVENGER, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n3\n\n\x0cApotex, Inc. v. Daiichi Sankyo, Inc., 781 F.3d 1356 (2015)\n114 U.S.P.Q.2d 1269\n\n']"
Wyandot Nation of Kansas v United States,"['Wyandot Nation of Kansas v. United States, 858 F.3d 1392 (2017)']","[' Dyk, Circuit']","[""s: The Court of Appeals, Dyk, Circuit Judge, held that:\n\n[1] threshold question of whether Wyandot Nation was federally recognized Indian tribe was within primary jurisdiction\nof Department of Interior, and thus tribe's claims for accounting or monetary damages had to be dismissed without\nprejudice, and\n\n[2]  tribe's  claims  for  monetary  damages  from  United  States  for  failure  to  collect,  account  for,  and  manage  Huron\nCemetery lands and its revenues generated from easements by Kansas City had to be dismissed without prejudice.\n\nAffirmed on other grounds.\n\nO'Malley, Circuit Judge, filed opinion concurring in the result.\n\n""]","[""\n\nMARIO  GONZALEZ,  Gonzalez  Law  Office,  Prof.  LLC,  Rapid  City,  SD,  argued  for  plaintiff-appellant.  Also\nrepresented by BRIAN JOHN LEINBACH, Engstrom, Lipscomb & Lack, Los Angeles, CA.\n\n*1394   ALLEN  M.  BRABENDER,  Environment  and  Natural  Resources  Division,  United  States  Department  of\nJustice, Washington, DC, argued for defendant-appellee. Also represented by JOHN C. CRUDEN.\n\nBefore Dyk, O'Malley, and Wallach, Circuit Judges.\n\n""]"
Diamond Coating Technologies LLC v Hyundai Motor America,"['Diamond Coating Technologies, LLC v. Hyundai Motor America, 823 F.3d 615 (2016)']","[' Wallach, Circuit']","['s: The Court of Appeals, Wallach, Circuit Judge, held that:\n\n[1] transferee did not receive all substantial rights to patents in patent assignment and transfer agreement and was thus\nnot a patentee, and\n\n[2] nunc pro tunc agreements could not confer on transferee status as a patentee.\n\nAffirmed.\n\n']","['\n\n*617  Joseph Samuel Grinstein, Susman Godfrey LLP, Houston, TX, argued for plaintiff-appellant. Also represented\nby Colin Michael Watterson; Oleg Elkhunovich, Kathryn Hoek, Marc M. Seltzer, Los Angeles, CA.\n\nReginald J. Hill, Jenner & Block LLP, Chicago, IL, argued for all defendants-appellees. Defendants-appellees Nissan\nNorth America, Inc., Nissan Motor Co. Ltd. also represented by Peter J. Brennan, Chad J. Ray; Adam G. Unikowsky,\nWashington, DC.\n\nDaniel Tallitsch, Baker & McKenzie LLP, Chicago, IL, for defendants-appellees Hyundai Motor America, Hyundai\nMotor Company, Kia Motors America, Inc., Kia Motors Company. Also represented by D. James Pak, San Francisco,\nCA.\n\nBefore WALLACH, BRYSON, and TARANTO, Circuit Judges.\n\n']"
